"Date:";"2024-03-20 15:07:34"
"Programme python:";"D:\Programmes-kicad-Python\bom_csv_grouped_by_value_with_fp.py"
"";""
"";""
"Ref";"Valeur";"Fabriquant";"Reference fabricant";"Distributeur 1";"Distributeur 2";"Cmp name";"Description";"Quantite";"Footprint";"Documentation";"DNP"
"J8";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J9";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J10";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J11";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J12";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J13";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J14";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J15";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J16";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J17";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J20";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
